iter	Passed	Remaining
173	966707	4589083
174	970885	4577033
175	977441	4576201
176	983995	4575299
177	990466	4573952
178	995907	4567820
179	1002608	4567440
180	1009409	4567437
181	1016262	4567597
182	1022843	4566463
183	1029456	4565415
184	1036113	4564499
185	1042624	4562883
186	1049106	4561090
187	1054753	4555639
188	1060867	4552189
189	1067379	4550408
190	1073278	4545979
191	1079758	4543983
192	1086541	4543208
193	1093544	4543284
194	1100431	4542805
195	1107514	4543071
196	1113340	4538133
197	1119799	4535751
198	1125905	4531910
199	1132275	4529100
200	1137669	4522377
201	1143489	4517351
202	1149849	4514434
203	1156511	4512661
204	1162484	4508172
205	1167421	4499672
206	1173899	4497113
207	1179706	4491958
208	1185776	4487796
209	1191591	4482654
210	1198539	4481741
211	1205351	4480268
212	1212384	4479560
213	1219147	4477803
214	1226020	4476401
215	1232175	4472342
216	1238093	4467404
217	1245124	4466457
218	1251778	4464103
219	1258514	4462006
220	1265404	4460406
221	1272174	4458341
222	1279271	4457372
223	1286215	4455818
224	1292723	4452713
225	1299447	4450320
226	1306162	4447856
227	1312758	4444955
228	1319240	4441634
229	1326131	4439658
230	1332459	4435762
231	1339489	4434171
232	1346133	4431264
233	1353442	4430499
234	1359571	4425838
235	1365894	4421794
236	1373211	4420931
237	1380279	4419213
238	1387202	4416990
239	1393850	4413860
240	1400531	4410803
241	1407310	4408022
242	1413817	4404359
243	1420318	4400659
244	1425644	4393311
245	1432107	4389466
246	1439072	4387131
247	1445826	4384118
248	1452729	4381524
249	1459319	4377958
250	1466005	4374654
251	1472395	4370443
252	1479283	4367687
253	1486302	4365283
254	1492598	4360730
255	1499421	4357693
256	1505960	4353807
257	1512741	4350598
258	1518100	4343291
259	1524387	4338642
260	1531301	4335754
261	1537968	4332139
262	1544907	4329264
263	1552174	4327275
264	1558915	4323783
265	1565485	4319797
266	1570750	4312209
267	1576802	4306789
268	1583788	4303901
269	1590757	4300937
270	1597954	4298557
271	1604797	4295192
272	1611465	4291339
273	1617037	4284558
274	1624106	4281735
275	1631084	4278640
276	1637869	4275016
277	1644749	4271614
278	1651765	4268540
279	1658695	4265215
280	1665110	4260550
281	1671482	4255759
282	1677643	4250425
283	1684792	4247576
284	1690947	4242201
285	1697600	4238064
286	1703401	4231794
287	1710096	4227739
288	1716766	4223601
289	1723596	4219839
290	1730557	4216375
291	1737283	4212316
292	1744191	4208680
293	1750954	4204672
294	1758056	4201456
295	1764171	4195868
296	1770765	4191407
297	1776396	4184664
298	1782833	4179820
299	1789393	4175251
300	1795929	4170614
301	1802733	4166583
302	1808169	4159385
303	1813884	4152841
304	1820435	4148204
305	1826401	4142231
306	1832227	4135940
307	1838795	4131320
308	1844443	4124629
309	1850142	4118059
310	1856567	4113102
311	1861611	4105091
312	1868052	4100166
313	1873990	4094131
314	1880538	4089424
315	1886439	4083305
316	1892848	4078282
317	1898688	4072029
318	1904956	4066694
319	1911383	4061689
320	1917866	4056794
321	1923715	4050556
322	1929039	4043218
323	1935090	4037410
324	1941613	4032582
325	1947998	4027456
326	1954473	4022509
327	1961002	4017664
328	1967508	4012759
329	1974306	4008440
330	1980747	4003384
331	1986574	3997084
332	1993170	3992325
333	1999526	3987079
334	2005316	3980702
335	2011841	3975782
336	2018422	3970962
337	2023742	3963661
338	2030277	3958740
339	2036687	3953570
340	2042984	3948173
341	2049290	3942787
342	2055848	3937879
343	2062618	3933366
344	2069147	3928381
345	2075797	3923617
346	2082282	3918532
347	2088988	3913852
348	2095370	3908556
349	2101616	3903002
350	2108042	3897777
351	2114456	3892522
352	2121078	3887642
353	2127585	3882542
354	2134268	3877754
355	2140675	3872458
356	2147160	3867294
357	2152797	3860603
358	2159889	3856515
359	2166269	3851145
360	2172247	3845058
361	2178848	3840069
362	2185223	3834675
363	2191958	3829904
364	2198634	3825021
365	2204760	3819176
366	2212351	3815854
367	2218262	3809625
368	2225535	3805726
369	2232922	3802003
370	2238908	3795885
371	2245652	3791047
372	2252460	3786306
373	2259069	3781222
374	2265802	3776338
375	2272645	3771625
376	2279031	3766145
377	2285834	3761346
378	2292249	3755902
379	2299217	3751355
380	2306001	3746496
381	2312453	3741089
382	2319006	3735840
383	2325664	3730753
384	2332064	3725245
385	2338860	3720362
386	2344210	3713181
387	2349963	3706643
388	2356534	3701394
389	2362393	3695024
390	2369135	3690033
391	2375780	3684883
392	2382497	3679837
393	2388344	3673444
394	2395059	3668381
395	2401589	3663031
396	2408366	3658047
397	2415337	3653350
398	2421918	3648052
399	2427643	3641465
400	2433966	3635775
401	2440559	3630483
402	2447436	3625607
403	2454068	3620358
404	2460197	3614364
405	2466985	3609333
406	2473869	3604433
407	2480718	3599474
408	2487328	3594159
409	2494092	3589060
410	2500734	3583778
411	2507519	3578693
412	2513683	3572717
413	2520311	3567397
414	2526954	3562092
415	2533968	3557301
416	2540423	3551718
417	2546897	3546159
418	2553544	3540833
419	2560099	3535374
420	2566280	3529397
421	2572951	3524090
422	2579654	3518819
423	2585457	3512319
424	2592289	3507215
425	2598898	3501802
426	2605188	3495956
427	2611767	3490493
428	2617839	3484350
429	2624705	3479261
430	2631606	3474209
431	2638419	3469032
432	2645036	3463592
433	2651841	3458392
434	2658797	3453380
435	2665497	3448028
436	2671449	3441706
437	2677970	3436117
438	2683939	3429818
439	2690599	3424399
440	2697226	3418933
441	2703334	3412806
442	2710352	3407824
443	2716770	3402081
444	2722619	3395626
445	2728832	3389625
446	2735658	3384382
447	2742311	3378920
448	2748814	3373266
449	2755825	3368231
450	2762392	3362646
451	2769117	3357248
452	2775391	3351300
453	2782141	3345923
454	2788715	3340329
455	2795199	3334623
456	2801077	3328194
457	2807550	3322472
458	2814443	3317242
459	2820464	3310980
460	2827370	3305754
461	2833314	3299400
462	2839960	3293863
463	2846673	3288398
464	2852975	3282456
465	2859697	3276992
466	2866294	3271381
467	2872542	3265368
468	2879102	3259708
469	2885797	3254196
470	2892160	3248307
471	2897879	3241695
472	2904359	3235935
473	2911051	3230407
474	2917523	3224631
475	2923924	3218773
476	2929789	3212327
477	2935953	3206208
478	2942593	3200607
479	2949073	3194829
480	2955779	3189292
481	2962513	3183780
482	2969198	3178210
483	2975884	3172636
484	2982087	3166546
485	2988747	3160938
486	2995713	3155649
487	3002404	3150063
488	3009107	3144486
489	3016129	3139236
490	3022697	3133509
491	3028952	3127454
492	3035598	3121802
493	3042641	3116552
494	3049753	3111364
495	3056313	3105608
496	3063081	3100060
497	3070082	3094741
498	3076578	3088909
499	3082841	3082841
500	3089572	3077239
501	3094497	3069839
502	3101449	3064454
503	3108371	3059032
504	3116442	3054730
505	3124509	3050410
506	3132319	3045825
507	3139558	3040674
508	3147786	3036469
509	3156195	3032423
510	3164588	3028344
511	3170825	3022193
512	3176855	3015845
513	3183759	3010325
514	3191906	3005969
515	3199206	3000805
516	3205829	2995001
517	3211583	2988384
518	3217751	2982155
519	3224451	2976417
520	3231151	2970675
521	3238296	2965336
522	3245813	2960330
523	3252772	2954808
524	3259605	2949166
525	3266452	2943533
526	3273353	2937943
527	3279316	2931510
528	3286058	2925772
529	3292552	2919810
530	3299525	2914270
531	3306449	2908681
532	3313091	2902839
533	3320147	2897357
534	3326095	2890905
535	3332774	2885088
536	3340035	2879770
537	3347346	2874487
538	3354821	2869337
539	3361408	2863422
540	3367150	2856787
541	3373824	2850944
542	3380657	2845230
543	3387350	2839396
544	3393394	2833017
545	3400133	2827216
546	3406308	2820946
547	3412775	2814917
548	3419463	2809067
549	3425022	2802291
550	3430683	2795601
551	3435909	2788564
552	3442422	2782572
553	3448807	2776476
554	3455603	2770708
555	3462238	2764809
556	3468481	2758594
557	3474979	2752582
558	3481637	2746694
559	3487519	2740193
560	3494211	2734329
561	3500546	2728184
562	3507724	2722692
563	3514453	2716847
564	3520827	2710725
565	3527459	2704801
566	3534478	2699169
567	3541059	2693199
568	3547599	2687197
569	3554149	2681200
570	3560771	2675255
571	3566797	2668862
572	3573698	2663122
573	3580228	2657103
574	3587057	2651303
575	3592888	2644765
576	3599537	2638828
577	3606082	2632814
578	3612879	2626981
579	3618990	2620648
580	3624983	2614230
581	3631524	2608208
582	3637995	2602133
583	3644653	2596191
584	3651253	2590205
585	3658245	2584494
586	3664213	2578058
587	3670986	2572187
588	3677552	2566169
589	3684301	2560277
590	3690094	2553720
591	3696727	2547744
592	3703291	2541719
593	3709827	2535673
594	3716435	2529674
595	3723054	2523681
596	3729445	2517532
597	3736211	2511633
598	3742844	2505643
599	3749467	2499645
600	3756127	2493668
601	3761523	2486854
602	3767244	2480259
603	3773970	2474324
604	3780470	2468241
605	3787458	2462473
606	3794099	2456476
607	3800918	2450592
608	3806988	2444224
609	3813232	2437968
610	3819341	2431626
611	3825663	2425420
612	3832314	2419422
613	3838894	2413376
614	3845484	2407335
615	3852085	2401300
616	3858720	2395283
617	3865500	2389354
618	3871252	2382790
619	3877869	2376758
620	3884030	2370446
621	3890908	2364571
622	3897261	2358374
623	3903082	2351857
624	3909730	2345838
625	3915501	2339292
626	3920849	2332499
627	3927648	2326569
628	3934195	2320487
629	3941107	2314618
630	3947398	2308383
631	3953299	2301921
632	3960048	2295952
633	3965813	2289412
634	3972164	2283212
635	3978966	2277270
636	3985080	2270932
637	3992488	2265330
638	3999096	2259270
639	4005699	2253205
640	4012232	2247100
641	4019056	2241156
642	4025798	2235163
643	4031851	2228787
644	4038639	2222817
645	4044506	2216339
646	4050595	2209984
647	4057198	2203910
648	4063773	2197819
649	4070540	2191829
650	4076890	2185614
651	4083750	2179670
652	4090396	2173610
653	4096941	2167495
654	4104150	2161728
655	4110663	2155591
656	4117433	2149588
657	4124179	2143570
658	4130651	2137408
659	4137047	2131206
660	4143665	2125117
661	4150262	2119016
662	4156795	2112880
663	4163915	2107041
664	4170509	2100933
665	4175943	2094242
666	4182360	2088044
667	4188923	2081920
668	4195409	2075755
669	4201935	2069610
670	4208817	2063637
671	4215535	2057582
672	4221973	2051390
673	4228208	2045097
674	4234341	2038757
675	4240958	2032648
676	4247452	2026480
677	4254049	2020359
678	4260550	2014192
679	4266779	2007896
680	4273389	2001778
681	4280024	1995671
682	4286927	1989686
683	4293513	1983553
684	4299874	1977314
685	4306424	1971162
686	4312928	1964987
687	4319599	1958888
688	4326430	1952858
689	4332985	1946703
690	4338650	1940149
691	4344559	1933705
692	4351025	1927510
693	4357590	1921358
694	4363990	1915132
695	4370023	1908745
696	4375735	1902220
697	4382284	1896060
698	4388578	1889788
699	4395185	1883650
700	4401572	1877418
701	4408008	1871206
702	4414613	1865064
703	4421205	1858915
704	4426991	1852429
705	4433417	1846210
706	4439903	1840016
707	4446508	1833870
708	4452531	1827484
709	4459457	1821468
710	4465759	1815196
711	4471955	1808880
712	4478448	1802685
713	4484413	1796277
714	4489889	1789676
715	4496104	1783371
716	4502554	1777158
717	4508565	1770773
718	4515286	1764667
719	4521715	1758445
720	4528215	1752249
721	4534930	1746136
722	4541155	1739834
723	4547827	1733702
724	4554665	1727631
725	4560952	1721351
726	4566576	1714821
727	4573161	1708653
728	4579843	1702520
729	4586344	1696319
730	4593033	1690186
731	4599096	1683822
732	4605606	1677622
733	4612259	1671472
734	4618882	1665311
735	4624910	1658935
736	4631348	1652706
737	4638067	1646576
738	4644390	1640305
739	4650844	1634080
740	4657298	1627854
741	4663621	1621582
742	4670304	1615434
743	4675817	1608883
744	4681806	1602497
745	4688121	1596223
746	4693868	1589757
747	4700412	1583561
748	4707007	1577381
749	4713691	1571230
750	4719536	1564799
751	4726095	1558605
752	4732061	1552216
753	4738499	1545982
754	4745542	1539944
755	4753729	1534272
756	4760672	1528194
757	4768490	1522393
758	4776204	1516555
759	4784375	1510855
760	4792324	1505079
761	4799936	1499192
762	4807676	1493341
763	4815402	1487480
764	4822874	1481536
765	4828692	1475083
766	4834620	1468665
767	4840249	1462158
768	4846551	1455856
769	4853190	1449654
770	4859597	1443382
771	4865894	1437077
772	4872597	1430892
773	4878874	1424580
774	4885193	1418281
775	4891085	1411859
776	4896642	1405342
777	4902319	1398862
778	4907464	1392233
779	4914147	1386041
780	4920527	1379763
781	4926909	1373486
782	4932935	1367109
783	4939336	1360837
784	4945986	1354633
785	4952425	1348370
786	4958455	1341996
787	4964803	1335708
788	4971436	1329496
789	4978002	1323266
790	4983939	1316868
791	4990325	1310590
792	4996865	1304352
793	5003270	1298077
794	5009108	1291656
795	5015548	1285391
796	5021939	1279113
797	5028400	1272853
798	5035250	1266690
799	5040602	1260150
800	5046255	1253688
801	5052878	1247468
802	5059687	1241293
803	5066435	1235101
804	5072997	1228862
805	5079673	1222650
806	5086208	1216404
807	5092852	1210182
808	5099370	1203930
809	5105896	1197679
810	5112577	1191463
811	5119136	1185218
812	5125573	1178944
813	5132214	1172717
814	5138791	1166474
815	5145654	1160294
816	5152077	1154014
817	5158479	1147730
818	5164867	1141441
819	5171316	1135167
820	5177171	1128762
821	5184136	1122598
822	5190630	1116332
823	5197002	1110039
824	5202852	1103635
825	5208516	1097193
826	5215140	1090954
827	5222012	1084765
828	5228619	1078521
829	5235087	1072246
830	5241680	1065997
831	5248336	1059760
832	5254839	1053491
833	5261566	1047266
834	5267084	1040801
835	5273475	1034509
836	5279387	1028124
837	5285722	1021822
838	5291361	1015386
839	5298241	1009188
840	5304670	1002904
841	5311105	996620
842	5317599	990347
843	5323617	983986
844	5330039	977699
845	5336575	971433
846	5343241	965190
847	5349949	958953
848	5356223	952638
849	5362159	946263
850	5368689	939993
851	5374959	933678
852	5381462	927403
853	5388007	921134
854	5394419	914843
855	5401201	908613
856	5407471	902296
857	5413940	896013
858	5420454	889737
859	5426115	883321
860	5433303	877153
861	5439818	870875
862	5446947	864695
863	5453112	858360
864	5459757	852100
865	5466487	845853
866	5473129	839591
867	5478494	833135
868	5485111	826869
869	5491551	820576
870	5498211	814315
871	5504685	808027
872	5511178	801740
873	5517723	795461
874	5524233	789176
875	5530604	782870
876	5537099	776582
877	5543824	770326
878	5549407	763911
879	5556162	757658
880	5562720	751377
881	5569177	745082
882	5575790	738808
883	5582562	732553
884	5589067	726262
885	5595816	720003
886	5602326	713712
887	5608838	707421
888	5615555	701154
889	5621312	694768
890	5626989	688374
891	5633451	682077
892	5639775	675762
893	5644954	669312
894	5651433	663017
895	5658021	656734
896	5664492	650437
897	5670822	644124
898	5677455	637845
899	5683876	631541
900	5690357	625244
901	5697042	618969
902	5703708	612690
903	5710500	606424
904	5717185	600146
905	5723267	593804
906	5729055	587433
907	5735707	581150
908	5742249	574856
909	5748270	568510
910	5755079	562241
911	5761501	555934
912	5768201	549653
913	5774715	543353
914	5781492	537078
915	5788161	530792
916	5794676	524490
917	5801071	518178
918	5807099	511833
919	5813274	505502
920	5820197	499235
921	5827147	492969
922	5833648	486664
923	5840683	480402
924	5847297	474105
925	5854493	467853
926	5861411	461578
927	5868292	455298
928	5875034	449006
929	5882139	442741
930	5888156	436394
931	5894503	430071
932	5901204	423773
933	5907821	417469
934	5914524	411170
935	5920777	404839
936	5927210	398521
937	5934978	392290
938	5941848	385998
939	5948355	379682
940	5955250	373389
941	5962018	367088
942	5968323	360757
943	5974450	354416
944	5980369	348063
945	5987201	341764
946	5993030	335407
947	5999777	329101
948	6006796	322809
949	6013736	316512
950	6020498	310204
951	6027034	303884
952	6034222	297595
953	6041298	291299
954	6048091	284988
955	6055295	278695
956	6061688	272364
957	6068487	266050
958	6075485	259744
959	6081034	253376
960	6087829	247060
961	6094300	240731
962	6100736	234400
963	6106507	228043
964	6112180	221685
965	6118659	215356
966	6125162	209028
967	6131957	202709
968	6138975	196396
969	6145569	190069
970	6151237	183713
971	6157342	177371
972	6164178	171051
973	6171553	164743
974	6177657	158401
975	6184674	152082
976	6191518	145757
977	6198082	139425
978	6204517	133089
979	6211458	126764
980	6218020	120430
981	6224973	114103
982	6231528	107768
983	6237458	101422
984	6243336	95076
985	6250341	88747
986	6256226	82402
987	6263234	76071
988	6269918	69736
989	6276397	63397
990	6282009	57051
991	6288422	50713
992	6295144	44376
993	6301217	38035
994	6307274	31694
995	6314474	25359
996	6321242	19020
997	6327104	12679
998	6334116	6340
999	6340718	0
