iter	MultiClass
248	1.041381063
249	1.041315357
250	1.041273335
251	1.041210686
252	1.04112325
253	1.041002528
254	1.040945401
255	1.040868599
256	1.040763889
257	1.040715973
258	1.040686851
259	1.040628675
260	1.040569684
261	1.040483443
262	1.040324917
263	1.040284298
264	1.040253272
265	1.040159129
266	1.040095048
267	1.04005806
268	1.039956675
269	1.039905399
270	1.039862116
271	1.039760067
272	1.039729082
273	1.039690414
274	1.039600751
275	1.039561527
276	1.039511153
277	1.039445615
278	1.039376846
279	1.039317038
280	1.039235997
281	1.039112503
282	1.039091278
283	1.03904113
284	1.03898782
285	1.038906688
286	1.038867237
287	1.038841488
288	1.038797218
289	1.038705949
290	1.03864399
291	1.038628215
292	1.038571795
293	1.038564766
294	1.038534676
295	1.03848472
296	1.038340861
297	1.038287642
298	1.038200829
299	1.038093524
300	1.038046885
301	1.037974254
302	1.037957627
303	1.037779799
304	1.037718794
305	1.037690499
306	1.037649571
307	1.037616148
308	1.037590198
309	1.037554016
310	1.037492658
311	1.03745647
312	1.037300962
313	1.037153961
314	1.037136853
315	1.037093056
316	1.036981069
317	1.036921789
318	1.03685461
319	1.036757911
320	1.036739895
321	1.036618164
322	1.036556025
323	1.036489204
324	1.036460135
325	1.036437118
326	1.036172385
327	1.036134274
328	1.036074659
329	1.035981681
330	1.035945453
331	1.035898722
332	1.035778126
333	1.035751648
334	1.03571094
335	1.035654333
336	1.035539034
337	1.035509783
338	1.035469708
339	1.035302042
340	1.035248845
341	1.035205507
342	1.035157092
343	1.03504969
344	1.034903862
345	1.034851259
346	1.034787247
347	1.034598721
348	1.034530169
349	1.034435791
350	1.034397122
351	1.034235674
352	1.034168928
353	1.03410178
354	1.03407265
355	1.034003851
356	1.033899269
357	1.033857445
358	1.033825319
359	1.033767129
360	1.033734839
361	1.033673875
362	1.033611474
363	1.033486168
364	1.03335543
365	1.033286721
366	1.033139732
367	1.033075269
368	1.033052176
369	1.032966344
370	1.032941153
371	1.032888508
372	1.032839974
373	1.032821868
374	1.032683308
375	1.032649701
376	1.032562831
377	1.032526004
378	1.032490017
379	1.032448269
380	1.032404348
381	1.032314093
382	1.032287231
383	1.032245418
384	1.032208422
385	1.032079464
386	1.032061209
387	1.031992538
388	1.03195769
389	1.031864396
390	1.031846782
391	1.031789565
392	1.031765272
393	1.031683703
394	1.03161563
395	1.031558382
396	1.031523818
397	1.031453805
398	1.031370548
399	1.031309579
400	1.031247457
401	1.031159243
402	1.031047195
403	1.031007694
404	1.030969971
405	1.030905348
406	1.030884188
407	1.030820286
408	1.030798688
409	1.03076609
410	1.030737683
411	1.030655897
412	1.030628069
413	1.030558305
414	1.030495711
415	1.0304317
416	1.03034509
417	1.030309664
418	1.030259824
419	1.030162469
420	1.030091186
421	1.030050936
422	1.029982054
423	1.02994084
424	1.029909253
425	1.029891028
426	1.029858899
427	1.029726258
428	1.029683219
429	1.029633066
430	1.029570665
431	1.029520644
432	1.029461309
433	1.029437535
434	1.029359746
435	1.029341743
436	1.029327475
437	1.029276353
438	1.029202916
439	1.029175971
440	1.02906858
441	1.029045515
442	1.029005114
443	1.028860662
444	1.028807053
445	1.028785689
446	1.028719882
447	1.028652057
448	1.028631599
449	1.028579066
450	1.028526021
451	1.028479619
452	1.028468195
453	1.028401293
454	1.028369564
455	1.028300797
456	1.028265439
457	1.028210921
458	1.028146948
459	1.028097642
460	1.027998551
461	1.02784398
462	1.027746525
463	1.027713847
464	1.027696591
465	1.027655146
466	1.027573716
467	1.02753378
468	1.027457252
469	1.027285573
470	1.027184358
471	1.027165216
472	1.027131933
473	1.027042741
474	1.027024458
475	1.026975424
476	1.026944269
477	1.026875821
478	1.026805303
479	1.026749159
480	1.026697257
481	1.02667294
482	1.026646823
483	1.02661564
484	1.026585287
485	1.026570134
486	1.02653903
487	1.026481795
488	1.026449273
489	1.026390878
490	1.026323319
491	1.026241405
492	1.02621488
493	1.026169312
494	1.026121438
495	1.026076888
496	1.026035788
497	1.025975517
498	1.025921469
499	1.025871255
500	1.025833402
501	1.025784217
502	1.02567107
503	1.025625828
504	1.025597556
505	1.025538637
506	1.025448565
507	1.025372823
508	1.025308445
509	1.025216545
510	1.025144588
511	1.025112913
512	1.025069288
513	1.02503079
514	1.024935592
515	1.024893228
516	1.024860316
517	1.024848837
518	1.024818706
519	1.024798076
520	1.024742062
521	1.024609857
522	1.02457143
523	1.024525629
524	1.024483363
525	1.024409874
526	1.024374696
527	1.024332512
528	1.024294849
529	1.024202103
530	1.024150599
531	1.024103233
532	1.024020795
533	1.023992129
534	1.023930158
535	1.02381533
536	1.02371253
537	1.023648369
538	1.023545467
539	1.023464356
540	1.023427887
541	1.023397934
542	1.023343928
543	1.023298259
544	1.0232509
545	1.023112665
546	1.023075098
547	1.023022622
548	1.022982361
549	1.02293981
550	1.022871288
551	1.022829867
552	1.022820076
553	1.022760459
554	1.022719686
555	1.022601708
556	1.022587564
557	1.022531208
558	1.022522124
559	1.022469407
560	1.022399672
561	1.022349433
562	1.022270161
563	1.022243202
564	1.022182647
565	1.022154062
566	1.022119473
567	1.022088264
568	1.022020362
569	1.021826728
570	1.021751497
571	1.021726568
572	1.021670663
573	1.021581899
574	1.021415742
575	1.021399446
576	1.021334043
577	1.021308796
578	1.021289713
579	1.021159595
580	1.021123553
581	1.021100758
582	1.021042297
583	1.020990665
584	1.020964161
585	1.020936004
586	1.020860402
587	1.020783852
588	1.020690796
589	1.020670297
590	1.020636059
591	1.020622957
592	1.020514916
593	1.020447513
594	1.020331501
595	1.02029437
596	1.020262257
597	1.020210342
598	1.02015838
599	1.020100856
600	1.020018975
601	1.01997285
602	1.019922802
603	1.019906762
604	1.019873737
605	1.019804071
606	1.019751937
607	1.019731202
608	1.01971922
609	1.019648337
610	1.019617663
611	1.019557492
612	1.01950805
613	1.019477017
614	1.01942874
615	1.019364501
616	1.0193453
617	1.019317416
618	1.019212036
619	1.01917812
620	1.01916244
621	1.019097467
622	1.01902799
623	1.018987284
624	1.018869164
625	1.018823024
626	1.018768071
627	1.018725948
628	1.018701411
629	1.01858159
630	1.018547001
631	1.018454248
632	1.018333654
633	1.018244362
634	1.018167196
635	1.018088063
636	1.018004354
637	1.017959553
638	1.017882994
639	1.01783028
640	1.017783368
641	1.01771252
642	1.017688873
643	1.017633256
644	1.017587239
645	1.017580381
646	1.017515673
647	1.017459156
648	1.017382777
649	1.017366915
650	1.017286154
651	1.017201904
652	1.017164449
653	1.017042756
654	1.017024886
655	1.01698037
656	1.016898915
657	1.016823099
658	1.016738045
659	1.016583218
660	1.016560387
661	1.016542389
662	1.016488747
663	1.016432899
664	1.016404625
665	1.0163727
666	1.016289362
667	1.016194965
668	1.016143606
669	1.016108207
670	1.016044418
671	1.015987007
672	1.015960193
673	1.01595663
674	1.015898175
675	1.015817167
676	1.015762207
677	1.015736653
678	1.015701772
679	1.015653077
680	1.015621325
681	1.015584167
682	1.01553362
683	1.015511382
684	1.015434017
685	1.015392655
686	1.01537648
687	1.015283826
688	1.015253124
689	1.015165392
690	1.015107969
691	1.015035873
692	1.015024291
693	1.014959259
694	1.014919098
695	1.014895614
696	1.014866109
697	1.014827986
698	1.014729222
699	1.014679851
700	1.014640336
701	1.014591475
702	1.014553335
703	1.014506483
704	1.014413226
705	1.014305951
706	1.014281547
707	1.014220254
708	1.014206019
709	1.014174364
710	1.01410877
711	1.014009436
712	1.013896342
713	1.013724357
714	1.013668689
715	1.01357157
716	1.013501926
717	1.013485067
718	1.013361177
719	1.013309396
720	1.013249314
721	1.013173713
722	1.013151766
723	1.013073995
724	1.013030521
725	1.012996637
726	1.012978134
727	1.012838007
728	1.012795477
729	1.012748143
730	1.012717283
731	1.012683275
732	1.012644151
733	1.012610077
734	1.012540096
735	1.012514499
736	1.012465627
737	1.012397412
738	1.012290866
739	1.012230948
740	1.012157304
741	1.012059307
742	1.012019966
743	1.011994364
744	1.01195932
745	1.011922975
746	1.011901984
747	1.011823658
748	1.011785575
749	1.011749062
750	1.011663384
751	1.011642987
752	1.011611131
753	1.011578001
754	1.011448885
755	1.01136028
756	1.011315731
757	1.011284867
758	1.011241389
759	1.011156295
760	1.011139722
761	1.011048231
762	1.011011261
763	1.010986284
764	1.010939952
765	1.010892873
766	1.01086547
767	1.010816301
768	1.010721164
769	1.01066266
770	1.010617944
771	1.010600737
772	1.010544444
773	1.010458321
774	1.010406609
775	1.010351157
776	1.010295842
777	1.010262587
778	1.010225533
779	1.010122406
780	1.010069197
781	1.010046123
782	1.010019034
783	1.009930868
784	1.009897605
785	1.009840355
786	1.009795908
787	1.009625648
788	1.009590962
789	1.009552238
790	1.009500491
791	1.009428148
792	1.009412998
793	1.009361811
794	1.009290641
795	1.009273068
796	1.009239961
797	1.009169984
798	1.009151965
799	1.009117743
800	1.009027856
801	1.008988716
802	1.008890745
803	1.008833284
804	1.008673152
805	1.008613196
806	1.008567953
807	1.008436274
808	1.008420297
809	1.008385314
810	1.00835533
811	1.0083373
812	1.008329556
813	1.008271017
814	1.008220894
815	1.00816832
816	1.008157183
817	1.008141122
818	1.008085679
819	1.008006015
820	1.007956558
821	1.00790891
822	1.007863016
823	1.007851475
824	1.007780165
825	1.007735004
826	1.007686006
827	1.007645704
828	1.007584568
829	1.007559201
830	1.007472106
831	1.007445442
832	1.00743626
833	1.007337221
834	1.007240636
835	1.0072223
836	1.007152732
837	1.007059207
838	1.00702913
839	1.006957869
840	1.006946819
841	1.006911198
842	1.006870855
843	1.006813091
844	1.006769458
845	1.006679681
846	1.006656977
847	1.006633935
848	1.006627997
849	1.0065333
850	1.006483945
851	1.006390502
852	1.006372849
853	1.006343141
854	1.006267993
855	1.006175704
856	1.006127464
857	1.006010724
858	1.006000085
859	1.005923733
860	1.005901857
861	1.005822245
862	1.005751507
863	1.005685907
864	1.005623717
865	1.005587856
866	1.005562559
867	1.005518427
868	1.00544945
869	1.005392953
870	1.005348332
871	1.005313375
872	1.005220929
873	1.005196634
874	1.005149286
875	1.005091486
876	1.005043647
877	1.0050241
878	1.005003534
879	1.004941949
880	1.004872292
881	1.004801258
882	1.0047614
883	1.004639854
884	1.004608997
885	1.00447266
886	1.004412551
887	1.004351151
888	1.00432279
889	1.004308675
890	1.004290771
891	1.004265835
892	1.004201014
893	1.004152024
894	1.004089446
895	1.004067408
896	1.004036432
897	1.0039645
898	1.003880827
899	1.003876021
900	1.003780123
901	1.003735646
902	1.003569231
903	1.003488882
904	1.00341307
905	1.003387262
906	1.003373895
907	1.003334155
908	1.003302074
909	1.003218875
910	1.003170769
911	1.003130542
912	1.003011331
913	1.002934997
914	1.002883808
915	1.002860209
916	1.002825583
917	1.002799052
918	1.002771478
919	1.002725616
920	1.002633008
921	1.002574265
922	1.002461474
923	1.002390938
924	1.00232723
925	1.002284024
926	1.002217548
927	1.002150721
928	1.002072313
929	1.002008063
930	1.001959496
931	1.001917464
932	1.00183364
933	1.001779865
934	1.001771633
935	1.001713595
936	1.001680695
937	1.001654268
938	1.001577027
939	1.001499577
940	1.001477324
941	1.001450446
942	1.001397181
943	1.00135047
944	1.001287732
945	1.001260039
946	1.001213817
947	1.001144854
948	1.001102979
949	1.001051037
950	1.000996019
951	1.000913351
952	1.000833322
953	1.00076868
954	1.00069371
955	1.000607689
956	1.000542169
957	1.000506283
958	1.000497944
959	1.000476206
960	1.000445298
961	1.000294521
962	1.000213426
963	1.000183511
964	1.000128916
965	1.0000046
966	0.9999195887
967	0.9998763799
968	0.9998281654
969	0.9997127394
970	0.9997079907
971	0.9996851718
972	0.9995803186
973	0.9995174615
974	0.9994821321
975	0.999466485
976	0.9993769786
977	0.9992722288
978	0.99921628
979	0.9991520814
980	0.9991119571
981	0.9990651822
982	0.9990271571
983	0.9989773658
984	0.9988616389
985	0.9988092759
986	0.9987523215
987	0.9987135008
988	0.9985554398
989	0.9985172784
990	0.9984271569
991	0.9983420526
992	0.9982113993
993	0.9981599667
994	0.9980907254
995	0.9980250607
996	0.9979901853
997	0.9979661598
998	0.9979491335
999	0.9979323194
